symbol,market_cap,current_price,book_value,stock_pe,dividend_yield,roce,roe,sales_growth_3yrs,face_value
KANSAINER,28304.0,525.2,63.54,59.54,0.5,20.96,13.79,11.44,1.0
KTKBANK,1942.0,68.7,204.71,4.02,5.09,6.28,8.52,5.76,10.0
KARURVYSYA,4548.0,56.9,80.35,19.12,1.05,5.66,3.31,2.23,2.0
KSCL,2978.0,471.7,160.46,12.78,0.64,22.28,21.09,2.4,2.0
KEC,7146.0,277.95,97.02,13.99,0.97,29.57,21.94,9.58,2.0
KIRLOSENG,2536.0,175.4,122.76,11.56,2.85,16.92,11.28,9.17,2.0
KOLTEPATIL,1874.0,247.15,104.03,13.54,0.97,11.99,9.46,28.9,10.0
KOTAKBANK,306474.0,1605.0,224.6,58.93,0.05,7.21,12.07,13.48,5.0
L&TFH,17124.0,85.6,39.14,75.52,1.17,5.27,3.04,5.32,10.0
LTTS,16574.0,1593.0,234.17,21.99,1.32,42.42,31.82,17.65,2.0
LICHSGFIN,19262.0,381.7,322.19,7.79,1.99,9.1,15.94,11.65,2.0
LAXMIMACH,3874.0,3626.0,1582.0,22.47,0.96,18.32,12.09,-1.44,10.0
LAKSHVILAS,671.75,19.95,56.21,,0.0,2.76,-42.41,3.41,10.0
LTI,26075.0,1499.0,271.0,17.27,1.87,44.24,33.15,16.95,1.0
LT,199874.0,1424.0,374.49,31.71,1.26,17.11,12.44,11.25,2.0
LAURUSLABS,3317.0,310.25,148.8,34.52,0.48,8.21,6.16,8.01,10.0
LEMONTREE,4445.0,56.1,13.02,72.4,0.0,6.33,6.32,12.24,10.0
LINDEINDIA,4400.0,515.9,171.89,53.92,0.29,5.64,2.35,11.84,10.0
LUPIN,32885.0,726.5,378.16,19.47,0.69,16.35,10.61,0.04,2.0
LUXIND,2936.0,1163.0,163.91,28.42,0.32,28.69,27.66,8.71,2.0
MASFIN,3675.0,672.35,166.44,22.63,0.76,17.76,18.22,24.89,10.0
MMTC,2340.0,15.6,9.93,24.12,1.92,8.88,5.99,32.11,1.0
MOIL,3438.0,133.45,119.67,7.62,4.5,24.47,16.11,31.49,10.0
MRF,27518.0,64902.0,25126.0,24.91,0.09,13.96,9.49,-7.31,10.0
MAGMA,1240.0,46.05,94.88,5.36,1.74,10.44,12.59,1.75,2.0
MGL,9629.0,974.85,242.86,16.37,2.05,37.25,24.32,10.33,10.0
MAHSCOOTER,5254.0,4597.0,9907.0,72.51,0.72,0.75,0.74,120.0,10.0
MAHSEAMLES,2385.0,355.9,475.56,7.37,1.69,19.68,11.05,44.5,5.0
M&MFIN,19528.0,316.1,176.57,14.4,2.05,11.15,15.16,14.29,2.0
M&M,73759.0,593.3,275.17,15.47,1.37,18.47,14.94,9.46,5.0
MAHINDCIE,5416.0,142.9,95.38,41.24,0.0,7.15,1.96,23.87,10.0
MHRIL,2846.0,213.1,22.22,41.68,0.0,20.14,12.24,-1.18,10.0
MAHLOG,2528.0,353.8,69.82,31.84,0.51,28.55,18.47,22.48,10.0
MANAPPURAM,12180.0,144.15,51.98,14.51,1.49,14.33,19.26,15.59,2.0
MRPL,9026.0,51.5,61.21,,1.94,5.56,3.18,16.11,10.0
