symbol,market_cap,current_price,book_value,stock_pe,dividend_yield,roce,roe,sales_growth_3yrs,face_value
IFCI,1119.0,6.6,24.91,-1.0,0.0,3.87,-14.2,-17.48,10.0
IIFL,3714.0,116.35,33.52,23.93,4.3,11.52,11.53,-10.7,2.0
IRB,2364.0,67.25,74.91,7.55,3.72,9.11,12.79,6.94,10.0
IRCON,3585.0,381.15,419.93,8.47,5.65,8.82,11.31,22.22,10.0
ITC,302862.0,246.5,47.17,23.62,2.33,34.0,22.91,7.13,1.0
ITDCEM,690.59,40.2,32.13,16.02,1.0,18.38,10.25,-3.93,1.0
ITI,7441.0,82.95,24.12,261.44,0.0,13.61,18.08,36.95,10.0
INDIACEM,2499.0,80.65,169.08,20.72,0.99,4.79,1.17,9.99,10.0
ITDC,3008.0,350.75,41.46,121.16,0.6,11.2,7.89,-7.15,10.0
IBULHSGFIN,9886.0,231.2,403.65,2.96,17.29,12.18,22.73,20.35,2.0
IBULISL,631.98,70.75,183.28,32.59,0.0,0.34,0.38,-86.91,2.0
IBREALEST,2114.0,46.5,143.88,27.14,0.0,4.57,1.49,88.86,2.0
IBVENTURES,5496.0,89.85,94.9,39.71,1.03,4.21,2.84,46.01,2.0
INDIANB,6036.0,122.8,394.45,12.63,0.0,4.79,1.71,5.7,10.0
IEX,4393.0,146.65,12.36,27.0,0.08,71.1,50.47,13.64,1.0
INDHOTEL,17768.0,149.4,37.7,54.3,0.33,10.0,6.57,7.03,1.0
IOC,137070.0,145.6,115.42,10.04,6.2,16.23,15.44,14.98,10.0
IOB,8867.0,9.7,17.9,-1.0,0.0,2.64,-25.23,-9.16,10.0
INDOSTAR,1767.0,191.5,328.38,7.01,1.04,10.13,9.98,0.0,10.0
IGL,26586.0,379.8,59.0,32.06,0.63,29.58,19.36,16.08,2.0
INDUSINDBK,93043.0,1343.0,384.93,22.36,0.49,7.62,13.08,23.31,10.0
INFIBEAM,2797.0,42.15,39.17,59.53,0.0,1.95,1.14,133.0,1.0
NAUKRI,28132.0,2300.0,189.99,91.34,0.26,19.72,13.76,15.24,10.0
INFY,327816.0,767.85,136.97,22.27,2.86,31.3,23.09,10.64,5.0
INOXLEISUR,3619.0,351.85,93.71,28.49,0.0,22.75,17.04,14.01,10.0
INTELLECT,2534.0,191.65,70.36,32.44,0.0,17.0,16.79,19.47,5.0
INDIGO,66542.0,1730.0,180.55,50.08,0.29,0.32,-3.26,20.86,10.0
IPCALAB,11962.0,946.7,248.25,22.94,0.32,16.53,15.39,8.75,2.0
JBCHEPHARM,2941.0,366.55,185.02,14.77,1.36,17.08,11.57,9.49,2.0
JKCEMENT,8731.0,1130.0,374.39,20.33,0.89,14.35,13.0,6.49,10.0
JKLAKSHMI,3389.0,288.0,129.4,27.12,0.26,7.84,3.73,14.01,5.0
JKPAPER,2203.0,123.6,114.52,4.61,2.83,24.77,23.31,10.14,10.0
JKTYRE,1671.0,67.85,81.03,11.27,2.21,10.91,9.57,9.33,2.0
JMFINANCIL,6085.0,72.35,29.51,59.17,1.38,5.44,4.48,19.65,1.0
JSWENERGY,11255.0,68.55,61.92,39.16,1.46,6.03,2.4,-4.42,10.0
JSWSTEEL,53989.0,223.35,145.46,7.35,2.29,22.01,26.14,27.86,1.0
JAGRAN,1747.0,58.95,45.21,8.59,5.94,20.68,14.37,2.71,2.0
JAICORPLTD,1483.0,83.1,70.73,94.27,0.6,5.21,1.64,0.07,1.0
JISLJALEQS,575.68,11.25,92.26,2.78,8.96,10.44,5.05,1.32,2.0
J&KBANK,1757.0,31.55,118.99,4.05,0.0,5.3,7.27,3.9,1.0
JAMNAAUTO,1628.0,40.85,12.91,13.62,2.32,45.45,29.69,23.29,1.0
JINDALSAW,2814.0,88.0,199.07,5.11,2.27,11.9,8.22,17.11,2.0
JSLHISAR,1536.0,65.1,64.29,6.43,0.0,18.57,17.44,12.03,2.0
JSL,1688.0,34.65,50.79,16.56,0.0,12.11,4.4,24.46,2.0
JINDALSTEL,10980.0,107.65,221.06,10.31,0.0,8.45,5.01,26.48,1.0
JCHAC,5544.0,2039.0,225.45,56.11,0.07,20.0,14.97,10.96,10.0
JUBLFOOD,17943.0,1360.0,100.31,54.7,0.37,42.68,27.85,13.57,10.0
JUBILANT,8014.0,503.05,146.91,51.37,0.89,8.24,6.62,8.99,1.0
JUSTDIAL,4113.0,634.2,153.99,18.24,0.0,29.08,20.91,10.12,10.0
JYOTHYLAB,6327.0,172.3,23.26,31.68,1.74,22.77,25.01,4.68,1.0
KPRMILL,4394.0,605.55,208.27,15.36,0.12,23.13,20.13,14.94,5.0
KEI,4332.0,544.85,97.97,22.16,0.22,29.42,26.3,22.04,2.0
KNRCON,3219.0,228.95,100.58,13.46,0.17,20.35,19.9,34.59,2.0
KPITTECH,2662.0,97.1,33.69,32.05,0.76,18.5,17.99,0.0,10.0
KRBL,5103.0,216.8,115.44,9.47,1.15,20.77,20.03,7.19,1.0
KAJARIACER,8782.0,552.5,98.52,35.23,0.54,25.43,16.73,3.72,1.0
KALPATPOWR,6926.0,447.65,203.74,16.79,0.66,22.18,13.61,18.6,2.0
KANSAINER,29166.0,541.2,63.54,61.35,0.48,20.96,13.79,11.44,1.0
KTKBANK,1950.0,69.0,204.71,4.03,5.07,6.28,8.52,5.76,10.0
KARURVYSYA,4480.0,56.05,80.35,18.83,1.07,5.66,3.31,2.23,2.0
KSCL,3115.0,493.45,160.46,13.36,0.61,22.28,21.09,2.4,2.0
KEC,7130.0,277.35,97.02,13.96,0.97,29.57,21.94,9.58,2.0
KIRLOSENG,2570.0,177.7,122.76,11.71,2.81,16.92,11.28,9.17,2.0
KOLTEPATIL,1910.0,251.9,104.03,13.8,0.95,11.99,9.46,28.9,10.0
KOTAKBANK,308517.0,1615.0,224.6,59.32,0.05,7.21,12.07,13.48,5.0
L&TFH,17084.0,85.4,39.14,75.34,1.17,5.27,3.04,5.32,10.0
LTTS,17051.0,1639.0,234.17,22.24,1.28,42.42,31.82,17.65,2.0
LICHSGFIN,19429.0,385.0,322.19,7.85,1.98,9.1,15.94,11.65,2.0
LAXMIMACH,3872.0,3625.0,1582.0,22.47,0.97,18.32,12.09,-1.44,10.0
LTI,28016.0,1611.0,286.78,18.76,1.74,44.24,33.15,16.95,1.0
LT,203165.0,1448.0,374.49,32.23,1.24,17.11,12.44,11.25,2.0
LAURUSLABS,3381.0,316.2,148.8,35.18,0.47,8.21,6.16,8.01,10.0
LEMONTREE,4476.0,56.5,13.02,72.91,0.0,6.33,6.32,12.24,10.0
LINDEINDIA,4469.0,524.0,171.9,54.77,0.29,5.64,2.35,11.84,10.0
LUPIN,33455.0,739.1,378.16,19.81,0.68,16.35,10.61,0.04,2.0
LUXIND,3076.0,1218.0,163.91,29.77,0.3,28.69,27.66,8.71,2.0
MASFIN,3638.0,665.6,166.44,22.41,0.77,17.76,18.22,24.89,10.0
MMTC,2738.0,18.25,9.93,28.21,1.64,8.88,5.99,32.11,1.0
MOIL,3627.0,140.8,119.67,8.04,4.26,24.47,16.11,31.49,10.0
MRF,27144.0,64020.0,25126.0,24.57,0.09,13.96,9.49,-7.31,10.0
MAGMA,1403.0,52.1,94.88,6.06,1.54,10.44,12.59,1.75,2.0
MGL,9546.0,966.4,242.86,16.23,2.07,37.25,24.32,10.33,10.0
MAHSCOOTER,5305.0,4642.0,9907.0,73.22,0.71,0.75,0.74,120.0,10.0
MAHSEAMLES,2410.0,359.75,475.56,7.45,1.67,19.68,11.05,44.5,5.0
M&MFIN,19722.0,319.25,176.57,14.54,2.03,11.15,15.16,14.29,2.0
M&M,73759.0,593.3,275.17,15.47,1.37,18.47,14.94,9.46,5.0
MAHINDCIE,5630.0,148.55,95.38,42.87,0.0,7.15,1.96,23.87,10.0
MHRIL,2900.0,217.15,22.22,42.47,0.0,20.14,12.24,-1.18,10.0
MAHLOG,2649.0,370.7,69.82,33.36,0.49,28.55,18.47,22.48,10.0
MANAPPURAM,13059.0,154.55,51.98,15.55,1.39,14.33,19.26,15.59,2.0
MARICO,50586.0,391.85,27.17,42.76,1.21,33.88,33.38,7.1,1.0
MARUTI,220588.0,7302.0,1527.0,31.69,1.1,18.53,13.27,14.34,5.0
MFSL,11056.0,410.4,74.24,75.99,0.0,3.92,2.53,16.48,2.0
MAXINDIA,1749.0,65.1,64.36,-1.0,0.0,-0.97,-1.06,-6.08,2.0
METROPOLIS,6846.0,1364.0,82.79,68.0,0.97,38.01,25.83,18.5,2.0
MINDTREE,12108.0,735.7,182.9,19.61,4.48,31.17,24.94,17.4,10.0
MINDACORP,1913.0,84.2,38.22,16.83,0.83,19.78,17.34,49.87,2.0
MINDAIND,9664.0,368.55,41.87,68.8,0.3,15.45,13.77,12.65,2.0
MOTHERSUMI,33964.0,107.55,20.39,42.57,1.39,16.63,12.89,12.72,1.0
MOTILALOFS,9495.0,643.95,175.89,29.34,1.3,12.99,13.0,122.0,1.0
MPHASIS,17440.0,935.85,175.13,21.68,2.88,25.92,21.41,5.51,10.0
